val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.958,99.074,99.30600000000001,98.843,98.28099999999999,98.437,98.75,98.125,65
98.785,98.727,98.611,98.843,98.28099999999999,98.437,98.75,98.125,38
98.177,98.321,98.611,98.032,98.438,97.464,95.625,99.375,57
98.351,98.665,99.30600000000001,98.032,99.531,99.268,98.75,99.792,25
97.56899999999999,97.799,98.264,97.33800000000001,98.28099999999999,98.229,98.125,98.333,64
98.698,98.669,98.611,98.727,98.438,98.746,99.375,98.125,63
97.743,98.253,99.30600000000001,97.222,97.65599999999999,98.21600000000001,99.375,97.083,17
97.65599999999999,98.083,98.958,97.222,96.875,97.08200000000001,97.5,96.667,19
98.611,98.953,99.653,98.264,98.125,98.535,99.375,97.708,64
98.611,98.495,98.264,98.727,97.65599999999999,97.393,96.875,97.917,71
