val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.351,98.205,97.917,98.495,98.59400000000001,97.788,96.25,99.375,59
98.351,98.205,97.917,98.495,98.59400000000001,98.646,98.75,98.542,44
98.524,98.32,97.917,98.727,96.875,97.285,98.125,96.458,70
98.524,98.668,98.958,98.38,98.28099999999999,97.36399999999999,95.625,99.167,65
98.09,98.489,99.30600000000001,97.685,98.125,96.81,94.375,99.375,39
98.611,98.611,98.611,98.611,95.781,96.341,97.5,95.208,45
97.743,98.029,98.611,97.454,97.65599999999999,96.738,95.0,98.542,26
98.264,98.264,98.264,98.264,98.125,98.125,98.125,98.125,49
97.65599999999999,97.627,97.56899999999999,97.685,97.5,95.478,91.875,99.375,14
97.483,97.396,97.222,97.56899999999999,96.719,95.461,93.125,97.917,7
