val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
99.653,99.652,100.0,99.30600000000001,97.5,97.5,97.5,97.5,60
98.611,98.611,98.611,98.611,98.125,98.12100000000001,98.75,97.5,69
99.653,99.653,99.653,99.653,97.188,97.18599999999999,96.875,97.5,51
98.611,98.611,98.611,98.611,99.375,99.371,98.75,100.0,56
98.958,98.958,98.958,98.958,98.75,98.75,98.75,98.75,67
99.479,99.476,100.0,98.958,98.125,98.10900000000001,96.875,99.375,68
99.653,99.652,100.0,99.30600000000001,99.063,99.054,98.125,100.0,70
98.958,98.957,99.30600000000001,98.611,99.063,99.062,99.375,98.75,73
99.653,99.653,99.653,99.653,99.375,99.371,100.0,98.75,47
98.785,98.784,98.958,98.611,98.125,98.125,98.125,98.125,58
