val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.611,98.741,98.958,98.524,97.875,96.259,93.75,98.906,55
98.056,98.77,100.0,97.56899999999999,97.75,97.65599999999999,97.5,97.812,56
97.98599999999999,98.6,99.653,97.56899999999999,98.875,98.10900000000001,96.875,99.375,29
97.708,98.17099999999999,98.958,97.396,98.375,97.313,95.625,99.062,8
97.917,98.175,98.611,97.743,97.625,97.341,96.875,97.812,30
98.681,98.784,98.958,98.611,97.5,97.5,97.5,97.5,51
98.819,98.871,98.958,98.785,97.625,98.26899999999999,99.375,97.188,45
98.542,98.697,98.958,98.438,98.0,96.075,93.125,99.21900000000001,55
98.056,98.134,98.264,98.003,99.125,98.98400000000001,98.75,99.21900000000001,71
98.333,97.912,97.222,98.611,98.375,97.56,96.25,98.906,67
