val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49
99.82600000000001,99.82600000000001,100.0,99.653,99.375,99.371,98.75,100.0,22
99.82600000000001,99.82600000000001,100.0,99.653,99.688,99.687,99.375,100.0,14
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15
100.0,100.0,100.0,100.0,99.688,99.687,99.375,100.0,42
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36
100.0,100.0,100.0,100.0,99.688,99.687,99.375,100.0,14
100.0,100.0,100.0,100.0,98.438,98.413,100.0,96.875,30
100.0,100.0,100.0,100.0,99.375,99.371,98.75,100.0,47
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62
