val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.958,98.958,98.958,98.958,99.688,99.687,100.0,99.375,16
99.479,99.476,98.958,100.0,99.063,99.062,98.75,99.375,67
99.479,99.479,99.30600000000001,99.653,97.5,97.436,95.0,100.0,73
99.479,99.479,99.30600000000001,99.653,99.063,99.054,98.125,100.0,8
99.82600000000001,99.82600000000001,99.653,100.0,98.438,98.413,100.0,96.875,64
99.479,99.479,99.653,99.30600000000001,99.375,99.371,98.75,100.0,29
100.0,100.0,100.0,100.0,99.688,99.687,99.375,100.0,61
99.479,99.479,99.30600000000001,99.653,99.375,99.371,98.75,100.0,51
99.30600000000001,99.30600000000001,99.30600000000001,99.30600000000001,98.125,98.12100000000001,97.5,98.75,74
98.958,98.953,99.653,98.264,99.688,99.687,99.375,100.0,72
